"Região","Área","Ocupação","Opinião","Renda","Idade"
"Dalmácia","Educação","Funcionário público","Indiferente",1.89,29
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.63,46
"Catamarca","Educação","Funcionário público","Insatisfatório",4.5,37
"Nortúmbria","Infraestrutura","Aposentado","Excelente",1.17,18
"Querétaro","Infraestrutura","Empresário","Indiferente",2.84,38
"Nortúmbria","Infraestrutura","Assalariado/Autônomo","Excelente",1.12,26
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.79,29
"Dalmácia","Educação","Aposentado","Indiferente",2.45,21
"Aquitânia","Segurança pública","Empresário","Péssimo",6.12,45
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",2.29,43
"Catamarca","Educação","Profissional liberal","Insatisfatório",2.46,40
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.68,33
"Dalmácia","Infraestrutura","Assalariado/Autônomo","Indiferente",1.7,30
"Aquitânia","Saúde pública","Empresário","Péssimo",5.54,40
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.82,27
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",3.11,26
"Querétaro","Educação","Assalariado/Autônomo","Indiferente",2.59,41
"Aquitânia","Saúde pública","Empresário","Péssimo",5,47
"Aquitânia","Segurança pública","Assalariado/Autônomo","Péssimo",4.77,50
"Aquitânia","Segurança pública","Empresário","Péssimo",7.26,38
"Catamarca","Saúde pública","Empresário","Péssimo",2.93,49
"Catamarca","Educação","Assalariado/Autônomo","Péssimo",2.36,49
"Aquitânia","Segurança pública","Empresário","Insatisfatório",4.51,44
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",3.04,42
"Dalmácia","Educação","Assalariado/Autônomo","Indiferente",1.31,22
"Dalmácia","Infraestrutura","Funcionário público","Indiferente",2.53,36
"Querétaro","Educação","Assalariado/Autônomo","Péssimo",3.24,33
"Dalmácia","Educação","Assalariado/Autônomo","Insatisfatório",2.53,40
"Aquitânia","Saúde pública","Assalariado/Autônomo","Péssimo",11.83,54
"Dalmácia","Infraestrutura","Aposentado","Indiferente",2.28,26
"Catamarca","Segurança pública","Assalariado/Autônomo","Péssimo",2.65,50
